LONG,LAT,CASES,N
35.41836,7.89181,13,35
35.41927,8.94872,0,35
35.42195,7.88423,15,35
35.42337,8.94724,0,35
35.42845,8.94918,0,35
35.42885,9.3513,27,66
35.43143,8.95072,1,35
35.43301,10.4915,8,50
35.4475,10.13168,9,31
35.45,7.2667,20,50
35.47813,8.9589,3,32
35.4833,6.9333,16,30
35.489943,9.536605,4,35
35.49505,8.94659,4,36
35.4962,8.95431,1,35
35.49833,8.94431,3,35
35.498727,9.168576,4,31
35.498937,11.157536,20,40
35.49977,8.94696,5,35
35.50068,8.94682,0,35
35.50287,8.94656,4,35
35.506355,6.625054,7,31
35.50687,8.94457,4,35
35.51217,9.60548,15,79
35.52019,9.34349,0,33
35.52254,10.50481,17,40
35.52425,9.34699,5,33
35.52532,8.74853,21,35
35.53235,8.74359,19,35
35.53558,9.35164,2,33
35.53617,8.73357,15,35
35.53735,8.72039,6,32
35.53874,8.73488,14,35
35.54246,8.73234,12,35
35.542616,11.246163,17,50
35.5458,9.3588,2,34
35.54616,8.72795,12,35
35.54683,9.59974,7,35
35.55,6.9,20,35
35.55065,10.33826,12,50
35.55177,9.65631,32,140
35.55219,9.60509,6,35
35.55682,9.60967,10,35
35.55973,9.61281,8,35
35.56017,9.60912,8,35
35.56041,9.64552,17,35
35.56155,9.61592,0,136
35.56283,9.65102,10,35
35.56286,9.64078,5,31
35.56405,8.72765,9,35
35.5645,9.6608,18,35
35.5667,7,20,36
35.56739,9.65757,15,35
35.56769,9.65384,16,35
35.56888,9.12052,2,35
35.56925,8.73196,12,35
35.5724,8.9723,0,33
35.57326,8.73137,5,35
35.57389,8.7295,4,35
35.57479,9.56848,8,35
35.5748,9.11668,1,32
35.57593,9.11303,0,33
35.57662,9.6564,0,31
35.57981,9.11301,3,32
35.57992,9.57226,3,34
35.57994,8.96001,0,30
35.58169,8.73279,7,35
35.58266,8.97433,0,31
35.58373,9.57239,8,35
35.58982,9.56974,0,31
35.590221,6.912168,12,37
35.59249,8.74371,14,35
35.594468,7.019122,3,14
35.59694,8.74445,9,35
35.598587,7.069303,1,30
35.599431,8.292831,11,31
35.60091,8.73922,12,35
35.60602,9.15361,9,35
35.608812,9.283764,3,30
35.60985,8.74245,7,35
35.61903,8.71089,10,32
35.6216,9.20912,13,38
35.6217,8.71383,16,32
35.6249,8.7101,5,36
35.626164,8.442473,17,30
35.62946,9.2898,7,35
35.63008,9.28979,9,35
35.63113,8.72174,11,31
35.63185,9.29325,7,33
35.63286,9.05276,0,34
35.6333,7.3,21,50
35.63668,8.7205,6,32
35.63974,9.08438,3,35
35.64054,8.74333,2,32
35.6409,9.0899,2,34
35.64166,9.08632,3,35
35.64232,9.08286,3,35
35.64244,8.74649,3,33
35.64658,8.7483,4,33
35.64712,8.72499,4,35
35.64972,8.7484,7,32
35.65286,9.7797,25,50
35.65359,8.73076,6,35
35.65461,9.75107,20,50
35.65913,9.08401,8,35
35.6619,8.75456,5,33
35.66255,10.62881,0,30
35.66782,8.75569,11,33
35.675357,6.250604,14,43
35.6833,7.2333,24,30
35.70158,9.34118,23,42
35.71382,8.7909,8,33
35.71478,8.96436,6,35
35.71726,8.9653,3,35
35.72066,8.95988,5,35
35.7243,8.98532,2,31
35.72897,9.83535,21,34
35.73103,8.9776,6,35
35.73931,9.00543,4,35
35.742616,11.325616,9,30
35.74381,9.00255,1,35
35.74608,8.98503,10,32
35.74721,9.45066,26,35
35.74754,8.98243,6,31
35.74819,9.43885,18,32
35.74819,9.45202,14,35
35.7512,9.01581,6,30
35.75592,8.97564,4,34
35.75651,9.45484,6,33
35.75744,9.01428,14,31
35.75896,9.0207,9,35
35.7594,9.01742,3,30
35.76115,9.45685,10,34
35.76416,8.97166,12,32
35.77097,9.64848,6,35
35.77204,8.9837,9,32
35.772148,8.853828,14,31
35.77711,8.98447,10,35
35.79165,8.9873,7,32
35.79943,9.63354,2,30
35.80149,9.58944,0,30
35.806609,11.108721,11,33
35.83255,9.45738,3,30
35.83563,9.17545,1,31
35.838161,9.018272,2,31
35.85991,9.50129,0,30
35.86832,10.53569,2,30
35.875385,12.625358,8,30
35.911645,11.209283,10,35
35.92244,8.66631,10,35
35.92447,8.66702,12,35
35.94939,10.75976,5,50
35.95,9.1333,2,50
35.95673,8.69235,13,34
35.95753,8.68513,8,35
35.95969,9.96394,34,50
35.96625,8.69499,11,33
35.967026,4.792039,0,24
35.969097,12.416097,11,36
35.97167,8.63364,2,35
35.97497,8.64288,7,35
35.9778,10.28349,4,50
35.98261,8.64532,7,35
35.9921,8.66629,10,32
35.99371,8.66365,5,32
35.9946,10.46922,2,50
35.99588,9.26327,1,31
36,11.1,12,35
36.0167,9.1667,12,50
36.03041,8.40944,10,35
36.0333,4.75,0,30
36.03719,7.8445,16,35
36.03891,7.59147,7,30
36.04086,8.39575,6,30
36.04112,8.39882,6,35
36.04418,7.59549,9,30
36.04549,9.6939,25,50
36.04551,7.84553,11,34
36.04597,7.59172,13,30
36.04635,7.5897,9,30
36.0464,8.39218,7,35
36.04775,7.59931,5,30
36.04884,7.59941,10,30
36.05,6.2667,5,33
36.05,11.1167,14,33
36.05035,7.60254,12,30
36.05313,8.37176,6,32
36.05382,7.60459,7,30
36.05412,8.36761,8,35
36.05621,10.0437,21,50
36.06216,7.60033,12,30
36.06263,7.60099,8,30
36.069247,8.500243,0,21
36.076164,12.624203,5,38
36.08261,10.60073,2,30
36.103928,11.309388,8,38
36.118542,11.133276,10,45
36.125394,8.625378,0,22
36.127099,8.343312,1,20
36.12824,8.56156,11,30
36.13359,10.06681,30,50
36.1399,9.44778,15,32
36.14333,7.94051,8,31
36.1435,7.94086,18,192
36.15023,9.65312,23,50
36.15732,10.67425,4,30
36.15822,8.58105,7,30
36.15876,8.58475,14,34
36.16234,8.58927,11,32
36.16404,8.59302,9,34
36.1642,7.95941,0,30
36.17475,8.5684,8,30
36.17513,8.57435,11,34
36.17921,8.61178,8,30
36.1829,8.60187,12,35
36.1833,7.1167,10,32
36.1833,8.6,1,45
36.18452,9.35926,2,34
36.18608,8.60047,15,30
36.2,11.2167,16,35
36.20147,8.48008,12,35
36.20512,8.49216,10,33
36.21967,8.47728,8,33
36.2201,10.1942,8,30
36.2212,8.48721,3,30
36.2269,8.49351,13,35
36.241854,12.426165,15,37
36.244931,12.743876,11,50
36.2667,7.2,17,30
36.275372,12.949976,10,38
36.282721,7.768542,1,31
36.285243,12.625187,11,50
36.292078,8.200914,14,30
36.3333,8.4167,0,33
36.337217,11.8633,11,36
36.35,11.2667,9,30
36.351925,8.499948,0,30
36.35377,7.11522,5,40
36.3667,7.4167,16,46
36.38745,8.05254,3,35
36.40065,11.8633,9,50
36.402091,13.135209,5,36
36.40568,8.04606,14,35
36.40572,8.04602,33,181
36.4167,8.05,0,42
36.41887,9.72568,8,30
36.42,9.56328,10,30
36.420616,4.687276,0,30
36.420982,8.261643,1,31
36.425233,11.635867,0,50
36.42785,8.0448,7,35
36.433276,12.768599,6,50
36.4333,7.5167,17,36
36.4333,12.5,22,50
36.435209,12.974497,5,33
36.43709,8.00871,3,30
36.45,8.7167,0,34
36.45122,8.03911,4,31
36.451908,8.085211,2,31
36.455949,9.035227,16,33
36.46579,8.05962,4,22
36.47275,8.05197,4,30
36.4767,7.95976,0,33
36.47892,12.03334,5,36
36.48267,8.05496,5,31
36.485209,8.784938,2,31
36.485914,7.893766,1,33
36.48606,8.05778,5,30
36.49536,8.43804,9,35
36.50186,8.10092,0,28
36.50252,8.11419,4,33
36.50334,8.08872,0,32
36.503591,9.218758,5,32
36.50446,8.09288,0,30
36.50532,8.11384,0,29
36.51325,9.43413,4,25
36.51567,9.43225,8,31
36.51594,9.49071,11,26
36.51646,9.46537,9,46
36.51668,9.48919,15,60
36.516702,10.958746,1,30
36.51677,9.43921,4,28
36.51695,9.4661,9,27
36.51791,9.48959,11,25
36.51823,9.49177,0,54
36.51829,9.48677,10,28
36.51858,9.49267,14,27
36.52063,9.48975,0,18
36.52761,8.4274,5,30
36.52854,7.1156,4,44
36.52875,8.42897,5,30
36.53013,8.42853,5,30
36.5333,12.6667,11,50
36.53545,8.43547,0,22
36.538943,5.125394,0,33
36.53995,8.44783,12,35
36.54013,9.44539,12,30
36.54026,9.44407,7,30
36.54072,9.44117,7,30
36.540949,6.368311,2,32
36.54548,10.11026,13,50
36.54759,8.42853,7,33
36.55379,9.09477,13,50
36.55645,8.44802,0,20
36.557536,5.791874,0,16
36.55856,8.45428,1,24
36.5667,12.45,11,50
36.57258,8.41804,14,35
36.57825,9.51427,9,30
36.57965,9.51316,8,30
36.58232,9.57204,12,30
36.58255,9.51989,7,30
36.5833,5.9,8,30
36.5833,11.15,8,38
36.58357,9.51762,9,28
36.58373,9.51743,9,29
36.59861,7.12824,8,50
36.60485,11.383933,0,38
36.60652,8.39051,9,35
36.60698,11.96703,1,24
36.6167,8.0667,0,42
36.624316,7.554283,3,34
36.626933,11.3837,0,50
36.63102,9.6806,10,30
36.63114,9.67982,4,30
36.63114,9.67985,7,31
36.63309,8.38652,10,35
36.635209,12.625394,5,33
36.63687,7.80469,68,239
36.6378,7.82845,16,40
36.63905,9.6659,6,30
36.64046,7.81851,13,32
36.64066,7.8216,59,202
36.64125,12.15012,2,32
36.643272,9.682721,0,30
36.645264,9.838278,5,31
36.64555,8.39801,13,35
36.6477,8.44075,6,33
36.65134,8.44097,9,30
36.65198,10.01667,4,30
36.65626,8.44037,9,35
36.65781,8.43612,4,26
36.65869,8.40735,5,33
36.65997,8.44277,12,31
36.66041,9.57218,8,22
36.66042,8.41028,8,32
36.6667,6.3167,12,30
36.672024,9.049387,14,34
36.67257,9.56706,9,30
36.67372,7.84371,1,30
36.67492,9.56532,10,30
36.67492,9.5666,13,30
36.67629,9.56553,6,30
36.68056,9.56544,6,26
36.68059,9.56546,5,30
36.6833,12.6833,6,50
36.69004,12.12973,0,35
36.691875,5.536609,0,31
36.69231,9.55142,7,27
36.69703,9.55433,7,22
36.69718,9.55756,7,30
36.6979,7.91803,4,36
36.70262,7.93367,1,30
36.71153,9.64265,0,134
36.72471,12.6148,22,50
36.73012,12.36293,0,26
36.735439,7.825394,9,40
36.74,14.2,2,34
36.742168,5.189376,0,34
36.74422,7.90483,11,30
36.74931,8.82635,11,30
36.75029,8.82848,11,30
36.75036,8.82841,5,26
36.75399,9.83706,13,33
36.75621,13.28408,19,56
36.75656,13.28459,0,301
36.76044,8.82673,8,25
36.76047,8.82672,9,26
36.76658,7.91214,9,30
36.7673,8.82634,22,27
36.76777,8.80672,10,29
36.76933,8.80741,13,28
36.77049,8.80757,8,29
36.77294,7.89314,6,30
36.775362,12.568542,3,35
36.775399,7.125395,1,28
36.77738,8.82302,8,35
36.7785,12.58508,0,294
36.77862,12.58534,22,48
36.77964,7.90152,10,32
36.78302,8.79865,8,35
36.78918,8.80208,14,31
36.79481,9.68905,1,118
36.79785,13.2173,19,51
36.80355,12.12501,0,36
36.82387,12.61506,0,285
36.82687,9.63852,1,102
36.83707,12.58175,1,35
36.83908,7.66927,13,34
36.842,13.30923,0,302
36.84325,13.30973,13,41
36.85,8.15,0,33
36.85,13.98,2,30
36.868581,12.708857,3,39
36.875604,11.266554,2,38
36.87726,8.40442,8,30
36.87761,8.40785,7,33
36.89006,8.40887,7,33
36.893726,7.452283,0,17
36.9,6.6667,5,30
36.9,7.1833,6,36
36.90067,8.31106,10,30
36.90529,10.17466,8,30
36.915544,6.309387,0,31
36.919938,10.974087,1,45
36.92302,8.10332,2,30
36.92398,8.29747,8,30
36.92656,12.54948,4,50
36.92745,10.9585,8,50
36.93272,8.2741,12,34
36.942831,8.323328,8,32
36.94504,8.08334,0,30
36.947035,12.792166,3,34
36.95,6.7333,9,50
36.955357,8.108101,1,32
36.95619,9.96586,0,114
